,rid,created_at,cleaned_text,followers,retweets,favourited,label
44,552790074166108160,07 Jan 2015 11:33:18,ten dead shooting paris offices satirical magazine charlie hebdo live updates httptcojxujfbizgu,3090705,266,28,1
45,552790082533752832,07 Jan 2015 11:33:20,dead shots fired french satirical weekly charliehebdo afp httptcokqsnxv4kqf,36125,119,10,1
46,552790371848040449,07 Jan 2015 11:34:29,unconfirmed reports charliehebdo attackers shouted prophet avenged used rocket launcher next level,35357,226,57,3
47,552790565642067968,07 Jan 2015 11:35:15,jews catholics muslims white people black people everyone attacked charlie hebdo yet reacts like httptcogg5zcjk9ac,2110,218,51,2
48,552790598823186432,07 Jan 2015 11:35:23,charliehebdo killings many think dark days ahead france europe everyone lose,5428,127,31,2
49,552790695036321793,07 Jan 2015 11:35:46,love stronger hate thoughts charliehebdo httptcobqrlxrzdjt,5912,584,261,2
50,552790742700417024,07 Jan 2015 11:35:58,scene paris hq satirical magazine charlie hebdo police confirm gunmen kill least httptcot3gks9dapq httptcobnd65c9hwf,12906212,1387,260,1
51,552790824971677696,07 Jan 2015 11:36:17,dead shots fired french satirical weekly charliehebdo photo philippe dupeyrat afp httptcoq38epi1b8b,36132,496,42,1
52,552790838015979520,07 Jan 2015 11:36:20,update people dead headquarters french satirical weekly publication charlie hebdo armed gunmen stormed office paris,1376880,246,32,1
53,552790875492073472,07 Jan 2015 11:36:29,people confirmed dead paris attack rocket launcher used assault according reports httptco7n7uvclhwy,774181,113,14,1
54,552790878805168129,07 Jan 2015 11:36:30,parisbased journalist says attack charlie hebdos hq involved men armed rocket propelled grenades httptco1pjh17mclz,1786456,152,35,1
55,552791034447794176,07 Jan 2015 11:37:07,breaking update dead wounded charlie hebdo hq shooting paris police httptcoq27xnp3as3,842292,165,23,1
56,552791065645027328,07 Jan 2015 11:37:15,live dead shooting hq satirical weekly charliehebdo paris police source httpstco4yt6nafpig charliehebdo,1251106,105,17,1
57,552791115599192064,07 Jan 2015 11:37:26,witnesses say several masked men involved shooting charliehebdos paris hq httptcoxck8ly9ier httptcoqpktv7stet,1787115,149,18,3
58,552791159232540673,07 Jan 2015 11:37:37,charliehebdo cover prophet mohammed provoked firebombing offices httptcohoua9drvak httptcovdj5egirrq,3560,163,36,2
59,552791182670327808,07 Jan 2015 11:37:42,several men black cagoules heard shout prophet avenged httptcowu7xfgczsm,19452,134,17,3
60,552791196247269378,07 Jan 2015 11:37:46,breaking least killed shooting french satirical newspaper charlie hebdo paris prosecutors office says httptcomnaea7j7fy,3029912,295,78,1
61,552791203432103937,07 Jan 2015 11:37:47,charlie hebdos right draw muhammad httptcoglf9dgwfs0 httptcovkfw5zbmvc,973027,127,41,2
62,552791332935434242,07 Jan 2015 11:38:18,saying dont yet know whos responsible charliehebdo killings yes youre right probably fundamentalist atheists,22223,172,113,2
63,552791414388424704,07 Jan 2015 11:38:38,anybody wants talk charlie hebdo might done provoke probably shut forever,3340,348,163,2
64,552791578893619200,07 Jan 2015 11:39:17,eleven dead shooting paris offices satirical magazine charlie hebdo live updates httptcogotsqbwroc,3091451,338,28,1
65,552791678881660928,07 Jan 2015 11:39:41,cowardly attack charlie hebdos offices humourless fanatics fuck freedom speech important feelings,40144,574,365,2
66,552791719272775680,07 Jan 2015 11:39:50,guardian live coverage paris shooting charlie hebdo httptcom27vo7xfik,449118,181,49,2
67,552791831390732289,07 Jan 2015 11:40:17,appalled hear news apparent terrorist attack paris thoughts family friends killed,11149,300,69,2
68,552792131447037952,07 Jan 2015 11:41:29,support died today paris charliehebdo freedomwillneverdie httptcofkkdzxchdt,127,254,69,2
69,552792193992519680,07 Jan 2015 11:41:44,least dead injured gunmen storm charlie hebdo office paris httptcoujw9lonl8n httptcojnhzmkew5m,818631,107,14,1
70,552792253601947648,07 Jan 2015 11:41:58,freespeech nonnegotiable human right condemn appalling attack charlie hebdo attempt silence free press,23845,186,42,2
71,552792271243210754,07 Jan 2015 11:42:02,police say dead carnage charliehebdo hq paris follow coverage httptcoicldjevrnb httptcoaqkn3pmfkt,12907286,2042,287,1
72,552792518870708224,07 Jan 2015 11:43:01,charlie hebdo covers including life mohamed people willing kill cartoon httptcovaendpbysu,2093,268,71,2
73,552792544132997121,07 Jan 2015 11:43:07,breaking charlie hebdo latest dead wounded five critical two gunmen unaccounted httptcokjw3uwcv0f httptco9k8ics97be,973212,203,32,1
74,552792802309181440,07 Jan 2015 11:44:09,charliehebdo dead including police paris shooting photo martinbureau1 afp httptcoaksgp63mb7,36037,114,17,1
75,552792913910833152,07 Jan 2015 11:44:35,least dead shooting hq charliehebdo paris police sourcehttpstcoe4dbcnvbvd,1253289,116,14,1
76,552792988376915969,07 Jan 2015 11:44:53,dead paris shooting french satirical newspaper charlie hebdo police official says ap httptcozfjyh80uxy,7194206,317,46,1
77,552793409438904321,07 Jan 2015 11:46:33,im uneasy portrayal charlie hebdo magazine provokes publishes cartoons people choose react,6355,404,207,2
78,552793539856588801,07 Jan 2015 11:47:04,french media put police protection according le figaro quoting source police charliehebdo,1483,116,22,3
79,552793551231541249,07 Jan 2015 11:47:07,charlie hebdo gunmen reportedly heard shouting prophet avenged httptco6q9j9nkvo5 httptcohxmmpdla38,818296,214,39,3
80,552793552376569857,07 Jan 2015 11:47:07,horrendous story paris shot dead many wounded offices satirical mag charliehebdo published cartoons muhammad,4328715,348,96,1
81,552793679082311680,07 Jan 2015 11:47:38,confirmed dead francois hollande visit scene attack latest paris httptco7n7uvclhwy httptcoegmxaradep,774627,144,21,1
82,552793759210307584,07 Jan 2015 11:47:57,1st attack charliehebdo office firebombed nov controvers caricature prophet muhammad httptco0wainrj1z7,5462,144,26,2
83,552794157484634112,07 Jan 2015 11:49:32,armed men reportedly asking journalists name charlie hebdo unimaginable httptcoa11klznpnn,5491,208,29,3
84,552794286849536001,07 Jan 2015 11:50:03,paris maximum alert charliehebdo attack officials say president hollande arrives scene httptcommxr2nmi5r,12912759,696,148,2
85,552794514424102913,07 Jan 2015 11:50:57,paris alert status raised highest level charliehebdo gunmen reportedly run httptcoxck8ly9ier httptcotquxq06q7f,1786479,247,42,2
86,552794942759010304,07 Jan 2015 11:52:39,charliehebdo dead including police paris shooting photo martinbureau1 afp httptcoxkczbys82e,36068,141,24,1
87,552794995942772736,07 Jan 2015 11:52:52,death defend right say itcharliehebdovoltaire httptcoofeht8xx3v,8380,307,106,2
88,552795050502270976,07 Jan 2015 11:53:05,charliehebdo dead including police paris shooting martinbureau1 afp httptcot8hpvdpjjn,1902,205,37,1
89,552795056080691200,07 Jan 2015 11:53:06,video scene fatal shooting paris httptcosl3ag464lt charliehebdo httptcoflc3mr5c2s,842294,203,34,2
90,552795566242279424,07 Jan 2015 11:55:08,charlie hebdo attackers two masked men brandishing kalashnikovs rocket launchers httptcoex1xb40jws httptcooi7ppqykqt,818843,104,24,1
91,552795585095671808,07 Jan 2015 11:55:12,gunmen reportedly asked victims name shooting charliehebdo live updates httptcow2a2ccypkn httptco150t62a5in,285305,124,30,3
92,552795693682032640,07 Jan 2015 11:55:38,paris police say dead shooting french satirical weekly charlie hebdo httptcok4wbmhdnxo,6708933,151,31,1
93,552795773180858368,07 Jan 2015 11:55:57,french president hollande condemns barbaric act charliehebdo gun attack kills httptcokeur4wvphu httptcovyurvukz1n,12906502,1829,476,1
94,552795778922864640,07 Jan 2015 11:55:58,would go way tribute killed charliehebdo papers every democracy published thurs httptcocyqwwwwgjh,3560,504,207,2
95,552795953301045248,07 Jan 2015 11:56:40,french president hollande says doubt attack charliehebdo terrorist attack httptcorve1lp0exf httptco8lfa5lfsns,129472,130,20,2
96,552796091255894016,07 Jan 2015 11:57:13,video showing charliehebdo attack allahu akbar shouts httptcoy1erbsgv5p,6894,240,47,3
97,552796269069209600,07 Jan 2015 11:57:55,developing paris high terrorist alert charliehebdo shooting hollande httptco3jsosc7yl3 httptcolvv3j8o6e8,842356,133,19,2
98,552796506642591744,07 Jan 2015 11:58:52,check photo via journo elisebarthet alleged pic gunmen facing police car near charliehebdo offices httptcoebpt190ld0,85221,107,24,2
99,552796522904297472,07 Jan 2015 11:58:56,dont know carried charlie hebdo attack however muslims enemies muslims,1314,483,390,2
100,552796619104866304,07 Jan 2015 11:59:19,satirical pictures charlie hebdo produced freespeech banislam httptcom4oancf5e0,13269,130,42,2
101,552796625467621376,07 Jan 2015 11:59:20,charliehebdo love stronger hate httptco23khz2osh3,6728,485,194,2
102,552796863297236992,07 Jan 2015 12:00:17,charliehebdo gunmen fled stolen car mass shootout police officers httptcoeocvqn42hg httptco545ooj5xmm,818615,144,15,3
103,552796895513681920,07 Jan 2015 12:00:25,charliehebdo hollande media shooting undoubtedly terrorist attack photo kenzo tribouillard afp httptcozk41w7j7yc,36094,179,29,2
104,552797058990870528,07 Jan 2015 12:01:03,spread cover solidarity victims charlie hebdo dont let sword conquer pen httptcoxvkppbklhn,12042,165,33,2
105,552797114863198208,07 Jan 2015 12:01:17,trend istandwithfrance httptco7m7pwfjnkz,101959,110,30,2
106,552797148975464448,07 Jan 2015 12:01:25,breaking astonishing video paris terror attack happening gt httptcosglpywcwhl via bbcdaniels charliehebdo,4327788,375,241,2
107,552797154692300800,07 Jan 2015 12:01:26,strongly condemn horrible shooting charliehebdo must stand freedom speech expression charliehebdo,173586,240,195,2
108,552797170295144449,07 Jan 2015 12:01:30,video terrorists attacking charlie hebdo hq paris httptcosdniwkjtt1 httptcoz6o8ihnjck,135092,106,20,2
109,552797406094716929,07 Jan 2015 12:02:26,french leader attack killed paris newspaper act terror attacks thwarted recent weeks httptco9rrqfeaqj5,4554496,424,60,1
110,552797638807281664,07 Jan 2015 12:03:22,reports charliehebdo gunmen asking journalists name opening fire armed ak47s rpg,69562,161,19,3
111,552797729504886784,07 Jan 2015 12:03:43,six days charlie hebdos offices firebombed front cover love stronger hate httptco7yinu4cc00,28590,895,295,2
112,552797828977029120,07 Jan 2015 12:04:07,shocked amp appalled senseless attack charlie hebdo london stands paris amp people france horrific scourge,1098367,572,374,2
113,552798010196107264,07 Jan 2015 12:04:50,breaking french government raises security alert highest level deadly attack magazine charlie hebdo httptcoak9mtvfjdr,3028493,236,64,2
114,552798016646942721,07 Jan 2015 12:04:52,charlie hebdo love,93337,417,279,2
115,552798200990806016,07 Jan 2015 12:05:36,sympathies amp prayers victims families amp french people ahmadiyya muslims totally condemn murder charliehebdo,3056,128,33,2
116,552798310889566209,07 Jan 2015 12:06:02,dont support cartoons language published publishers charliehebdo attack indeed sickening dead terrorattack,692611,374,15,2
117,552798640679702528,07 Jan 2015 12:07:21,freedom expression never act bravery whoever threatens enemy freedomloving people charliehebdo,24630,139,77,2
118,552798654495354880,07 Jan 2015 12:07:24,graphic video shows gunmen automatic rifles attack charliehebdo paris httpstcofqxxnsjowq httptcoy0uxe72r2n,22456,958,279,1
119,552798832359374849,07 Jan 2015 12:08:06,thoughts go people charlie hebdo families senseless violence never answer httptcoygscpqvtym,4617,335,117,2
120,552798891994009601,07 Jan 2015 12:08:21,reports two dead charliehebdo attack police officers httptco2j4wqdjntp httptcolipdxdq1cb,476910,141,22,1
121,552799062421164032,07 Jan 2015 12:09:01,charlie hebdo massacre paris carried military precision gunmen appeared seek journalists name police suggest,2228,387,44,3
122,552799100715167744,07 Jan 2015 12:09:10,france raises national alert system highest level attack charlie hebdo hq httptcotyryahzspp httptcocwyqcmwg0z,2002874,224,66,2
123,552799317602615297,07 Jan 2015 12:10:02,awful shot dead assault paris magazine httptcoxxins8etdb charliehebdo httptcoas3yolthcx,744726,140,33,1
124,552799591255384065,07 Jan 2015 12:11:07,new vid paris attack charliehebdo filmed witness gunmen street shout allahu akbar httptcotazedtgflw akhbar,85173,222,45,3
125,552799606833430528,07 Jan 2015 12:11:11,agree say ill defend death right say voltaire charliehebdo httptcombn5siwa7z,34754,281,148,2
126,552799640488517632,07 Jan 2015 12:11:19,armed gunmen face police officers near offices satirical newspaper charliehebdo photo anne gelbard afp httptcok669phgvw5,36111,573,79,1
127,552799669521481728,07 Jan 2015 12:11:26,lashes dont die laughter eleven people killed paris charliehebdo httptco87cb3mwvaq,2151,252,64,2
128,552800045096259584,07 Jan 2015 12:12:55,chilling video allegedly charliehebdo attackers filmed rooftop cry allahou akbar followed shots httptcog3rhlmafth,907,134,46,3
129,552800070199148544,07 Jan 2015 12:13:01,respond murderous attack charlie hebdo every newspaper free world print httptcosc2ot63f6j,4144,228,77,2
130,552800222553079809,07 Jan 2015 12:13:38,never justification violence one offended cartoon ever charliehebdo httptcorhbpc5iwh9,3039,243,133,2
131,552800223496790018,07 Jan 2015 12:13:38,worth remembering jens stoltenbergs words utya response democracy openness humanity charliehebdo,2342,562,291,2
132,552800290861510656,07 Jan 2015 12:13:54,charliehebdo attack asked aljazeera charliehebdo journalists apologize making fun islamists,4577,1522,303,2
133,552800929519792128,07 Jan 2015 12:16:26,least dead muslim terror attack france show support posting charlie hebdo cartoons banislam httptco85pozirhhg,3340,165,50,2
134,552801028262096896,07 Jan 2015 12:16:50,latest least dead shooting french magazine charliehebdo france raises terror alert highest level httptcojvrjf5b1lw,4729485,278,68,2
135,552801115516186625,07 Jan 2015 12:17:11,france problem quite serious one charliehebdo httptcoh15l2arf3d,1356,113,28,2
136,552801438821515264,07 Jan 2015 12:18:28,charlie hebdo journalist wandrille lanos tells france men kalashnikovs entered office calls scene carnage,9229,177,64,1
137,552801667855695873,07 Jan 2015 12:19:22,masked gunmen pictured near charliehebdo offices httptcozvfj25enec httptcoqtwholqick,818667,127,27,2
138,552801724898226176,07 Jan 2015 12:19:36,fact every journalist india stand charliehebdo one publication reprint controversial work,55677,580,200,2
139,552801829290270720,07 Jan 2015 12:20:01,fact gunmen shouting allah hu akbar shooting rules connection religion peace charliehebdo,96458,200,84,3
140,552801880812691456,07 Jan 2015 12:20:13,cartoonist stephane charbonnier critically injured attack lefigaro charliehebdo httptcofhmfumqffo,15764,172,21,0
141,552801894092275712,07 Jan 2015 12:20:16,condemn attack charliehebdo whomever attackers whatever cause may nothing justifies taking life,19055,361,140,2
142,552801954733490176,07 Jan 2015 12:20:31,confirmed dead charliehebdo attack afp httptco82wvynxtec,129582,106,6,1
143,552801958428700672,07 Jan 2015 12:20:32,nine journalists two police officers killed charliehebdo attack police spokesman confirms httptcoktqoywxkev,1557612,180,15,3
144,552801979861598208,07 Jan 2015 12:20:37,right draw muhammad without shot precious many us muhammad charliehebdo killers httptcoqedw4trok9,27700,1642,695,2
145,552802011733716992,07 Jan 2015 12:20:44,issue charlie hebdo whose cover featured mohammed httptcoesflydfbrh,7296,220,68,2
146,552802098602319873,07 Jan 2015 12:21:05,map shows gun attack satirical magazine charliehebdo took place central paris httptco5azakumpnd httptcoecfyztmvk9,22067,662,225,2
147,552802099331735552,07 Jan 2015 12:21:05,quran says whoever kills innocent soul killed entire humanitycharliehebdo paris httptcouinz805mpa,17003,642,287,2
148,552802117908697088,07 Jan 2015 12:21:10,showing solidarity victims necessary enough must insist coexist reject dont charliehebdo,34726,441,218,2
149,552802128688078848,07 Jan 2015 12:21:12,twelve people confirmed dead shooting french satirical magazine charlie hebdo paris httptcox6uwh7pfp1 httptcotcwte8nkpm,529721,125,18,1
150,552802515969138688,07 Jan 2015 12:22:45,video emerged showing moment gunmen opened fire charliehebdos hq paris httptcozrsbe9fc1l httptcote7kwlhusn,1786872,156,41,2
151,552802531672588288,07 Jan 2015 12:22:48,parisian doctor lets subscribe charliehebdoitll waiting room retire via bourmeau httptco3ijtqck3o7,8051,318,154,2
152,552802606696136705,07 Jan 2015 12:23:06,charlie hebdo shooting ferociously shocking moment terrible implications us httptcosijo1vrp3w twelve dead,584117,557,157,1
153,552802654641225728,07 Jan 2015 12:23:18,charlie hebdo shooting latest dead gunmen still large httptco6jrqxgpogm httptcoho7lvftma5,53449,120,22,1
154,552802714816905216,07 Jan 2015 12:23:32,wish news outlets publish charliehebdo cartoonssatire tomorrow front pages tribute dead rip,4247,212,116,2
155,552803413583360001,07 Jan 2015 12:26:19,forget truth today even satire unacceptablecharliehebdo,15649,187,62,2
156,552803431702749184,07 Jan 2015 12:26:23,agree say ill defend death right say voltaire charliehebdo httptco5fzkhe1ldj,31347,155,87,2
157,552803757864787968,07 Jan 2015 12:27:41,freedom speech right much cause worth fighting obscurantism danger made real today charliehebdo,5830,109,102,2
158,552803792618799106,07 Jan 2015 12:27:49,reporting story telegraph pixilated charlie hebdos la vie de mahomet httptcoelhnzunr0a httptcojdhlcqbtfp,6361,393,63,2
159,552803839490150400,07 Jan 2015 12:28:00,update police say people killed armed gunmen stormed headquarters french weekly publication charlie hebdo paris,1376932,161,25,1
160,552804175310901248,07 Jan 2015 12:29:20,headline charliehebdo week isis executes phorphet mohamed police chase terrorists httptco4qqvijlp8a httptco1zjuizvlf3,20572,109,34,2
161,552804198161854464,07 Jan 2015 12:29:26,bad bad day press freedom freedom expression satire thoughts relatives victims charliehebdo,101408,217,101,2
162,552804301316579330,07 Jan 2015 12:29:50,ive seen one national newspaper pixelate cover charlie hebdo selfcensorship begins terrorists enlightenment,3031,295,116,2
163,552804328319504384,07 Jan 2015 12:29:57,frances charlie hebdo newspaper long reveled art provocation httptcoetwcbzhpnl,14687973,194,85,2
164,552804394727927808,07 Jan 2015 12:30:12,police say dead charliehebdo attack including police officers prosecutor says gunmen still large httptco4aaqpaqmob,12912447,1614,237,1
165,552804408233193473,07 Jan 2015 12:30:16,people known died gunmen stormed paris hq magazine charliehebdo httptcoimge2aacpw httptcoh2wgfokyvw,1783919,560,368,1
166,552804454773567488,07 Jan 2015 12:30:27,time takeastand iamcharliehebdo charliehebdo httptcov9zua4vrjy,96407,219,96,2
167,552804491821854720,07 Jan 2015 12:30:36,im fan charliehebdo sickening terrifying unjustifiable attack journalists thoughts amp prayers victims,154988,324,192,2
168,552804592988479488,07 Jan 2015 12:31:00,governrment attacks terrorist attacks hard journalist days charlie hebdo,317497,144,70,2
169,552804668951511041,07 Jan 2015 12:31:18,terrorist attack footage today dead paris charliehebdo newspaper httptco5siqslhceh,1099,4082,5,1
170,552804763461775360,07 Jan 2015 12:31:40,breaking police official confirms died attack charliehebdo headquarters httptcok7zhv9c27f,972302,111,9,1
171,552804769241526272,07 Jan 2015 12:31:42,wide uncompromising condemnations arab twitter insane attack charliehebdo hope everyone sees dont focus fools,6326,194,48,2
172,552804784819154944,07 Jan 2015 12:31:45,support charliehebdo free press please rt cartoons show united dignified defiance httptcomc2aowshya,2843,267,56,2
173,552804810463117312,07 Jan 2015 12:31:52,condolences staff charlie hebdo amp loved ones stood free speech amp paid lives stand charliehebdo,52132,142,87,2
174,552804839886184448,07 Jan 2015 12:31:59,charlie hebdo shooting twelve dead paris offices satirical magazine live updates httptcoyc1915svdd,3090574,193,33,1
175,552804962158514176,07 Jan 2015 12:32:28,utterly disgusting aljazeera blaming free speech berlin protests attack charliehebdo,310,141,43,2
176,552805050620604418,07 Jan 2015 12:32:49,know gunmen charliehebdo attack httptcoz4xlmmedl5 pic gelbardafpgetty httptcokktg9fgeba,775224,154,26,2
177,552805069956329472,07 Jan 2015 12:32:53,sirens paris street poor charlie hebdo poor families poor kids live poor local muslims get blame poor paris,34721,616,224,2
178,552805169206157312,07 Jan 2015 12:33:17,attack charliehebdo cowardly senseless muslim outraged happened today prayers families,30814,379,245,2
179,552805175874686977,07 Jan 2015 12:33:19,never appropriate say f em cant take joke charlie hebdo absolute equal opportunity offender satire,61133,152,102,2
180,552805209424941058,07 Jan 2015 12:33:27,good backgrounder new yorker charlie hebdo affair laughing blasphemy httptcoldwdceoxfg,12935,140,48,2
181,552805267990413312,07 Jan 2015 12:33:41,cartoonists cabu charb died attack charliehebdo lepoint reports httptconbdm0iziq4 httptcoxmcxkb8qtk,441,720,155,0
182,552805450350362625,07 Jan 2015 12:34:24,charliehebdo satire father true political freedom born 18th century scourge bigots tyrants sing praises,33124,4692,2210,2
183,552805488631758849,07 Jan 2015 12:34:33,least killed todays attack satirical magazine charliehebdo paris official says httptcozufxcg3rfs,22667902,1133,268,1
184,552805596198871040,07 Jan 2015 12:34:59,video footage paris shooting french tv via nycjim including shout allahu akbar httptcozrcne2neq6,1543571,110,48,3
185,552805619301097472,07 Jan 2015 12:35:04,dead charlie hebdo gunmen show signs military training fled black car dumped hijacked another set suburbs,1177,241,27,3
186,552805638024077312,07 Jan 2015 12:35:09,speculative judging video amp imagery scene charliehebdo attack gunmen amateurs look experienced,22454,132,35,2
187,552805735885991936,07 Jan 2015 12:35:32,dead paris attack charliehebdo office five others critical httptco2j4wqdjntp httptcoqerbyqi6ju,476244,104,10,3
188,552805799106732032,07 Jan 2015 12:35:47,journalists admin staff police officers among injured charliehebdo attack httptcocmsu4asqjl httptcozqkhljk5b9,818547,196,34,2
189,552805830677258240,07 Jan 2015 12:35:55,raw video warning graphicterror attack charlie hebdo paris headquartershttpstcoqzo3wbxhfd via nomanescio parisshooting,15559,162,95,2
190,552805853762699264,07 Jan 2015 12:36:00,killing writers journalists cartoonists silence make voices loudercharliehebdo,24448,113,51,2
191,552805956619628544,07 Jan 2015 12:36:25,share video masked gunmen charliehebdo offices executing police officer barbaric amp life respected,18278,365,175,2
192,552805970536333314,07 Jan 2015 12:36:28,attempts extend blame muslims treated disgust attempts justify attacks charliehebdo,34907,876,400,2
193,552806056154644480,07 Jan 2015 12:36:49,pictureis terrorist scum executes injured police man parischarliehebdo httptcowov8g7gl0b,17397,102,17,2
